avg_num_tags,views,video_id
29,31626180,KilybZma5vY
13,31583221,Jm29kLeWqDA
12,31556897,GuTKZSQG_JM
4,31489721,ymaIzkXY8nQ
11,31358458,DPzKpJ7ksB0
38,31242126,ZJaKdBBzUYk
33,31200015,P3cffdsEXXw
15,31146664,ujf3iJoWgrM
40,31061855,mqqft2x_Aa4
21,31055670,saGYMhApaH8
34,31004573,ca48oMV59LU
27.428571428571427,30991742,JXgV1rXUoME
26,30976594,juQvizeZJFM
24,30954713,c8O01OhpdhU
12,30810881,FeiWFlrX4s4
9,30725226,FFpiZx1vQmk
1,30398625,qa3I51_gdg0
21,30179650,N0QqNGbpTK0
32,30173157,rCiBgLOcuKU
21,30132701,QDYDRA5JPLE
38,30121659,aPd9exmH17o
29,30106753,iHCjPjVGqbM
53,30059975,K7LY9Ta0eiY
21,30033475,FrjCHMHK8Xc
24,29988122,eULmdt9zc30
21,29974086,jmwU1iAC-IE
21,29768357,moqX7VHq_7c
41,29730851,A_g3lMcWVy0
9.714285714285714,29663773,LIIDh-qI9oI
24,29586833,91vECNhvmMY
21,29580488,n0j5NPptyM0
4,29479954,WpuatuzSDK4
29,29349431,27h9SJcIdM0
15,29318211,DbXMjAYSa68
45,29282398,SszP3hlQ55Y
5,29204818,ZmDBbnmKpqQ
26,29046083,UTCC8k6KwnQ
27,28982410,Y1J9_9-vNcU
19.6,28903448,Mx_OexsUI2M
14,28762944,PJD7YnBZ5kw
6,28727667,cX9BHG1ZDzg
21,28703674,N0QqNGbpTK0
24,28620327,RJ0jdO5ZfU4
34,28486590,zJCdkOpU90g
18,28389717,ayd3yWr4tqU
20,28365071,RNzQdcPWWX4
26,28294277,-Ca8V1-ihq0
61,28262908,yY13X0BKaUw
5,28207273,qWUsV2Ios8A
40,28160177,Gzs60iBgd3E
15,28143798,ME7qwm7oerQ
23,28086517,v7v1hIkYH24
18,27934528,ynB64HHx7UU
19,27897978,niG3YMU6jFk
4,27620624,ZSsZ8WeAWRI
36,27595057,hXdKES_bF_g
39,27462261,r72GP1PIZa0
19,27399750,ux6zXguiqxM
62,27394012,sMG9t39BwUU
47,27256270,wTowEKjDGkU
11,27212105,Wq5S8Dt_HQE
23,27024302,mDYqT0_9VR4
19,26945980,9rhadTURsrw
1,26913924,fLmAn7pBe00
35,26699067,CBV3C2ITDzk
30,26627593,-mQ8vp-LchA
4,26564860,MiCHMyou4pw
13,26520976,FL-brMxOebk
15,26474177,IkeZX2hnoOk
6,26444679,iLycuRm1V0Q
36,26357358,QcS9ZndErHc
42,26315912,CocEMWdc7Ck
2,26259306,x7Krla_UxRg
29,26148583,lZH4QYXcMSI
25,26069653,-ezfi6FQ8Ds
24,25879197,qqOxkuO3ip0
20,25795642,BGNkkVrJZks
64,25764064,vaKVbKPQOqY
27,25756419,dmBRyBvAEy8
17,25752513,YhaG5GcCvA8
51,25736050,57n4dZAPxNY
34,25654458,6HsyjH6VmAI
16,25630909,ZDXEnr3Ww98
2,25591481,Rt_UqUm38BI
7,25516309,2XOFLRPnFC0
26,25498543,-FmWuCgJmxo
26,25437380,grG41kS4MUA
34,25262800,RY2EujCP874
7,25079483,rpPCjyVfQOo
